last_letter,1910,1960,2010
a,0.27338957055214724,0.34185252479894285,0.3812400156906442
b,0.0,0.0003432140062965428,0.00025582572014940224
c,1.2613012592831772e-05,2.4232689205375504e-05,0.0005378025139140766
d,0.01702756700032289,0.0018441571029968419,0.0014820836720655368
e,0.3369414958023894,0.21513336386322476,0.1784145627369941
f,0.0,9.89089355321449e-06,5.514465523220448e-05
g,0.00014378834355828222,0.0001572652074961104,0.00037350555141812725
h,0.051529201646754924,0.03622391400461509,0.07585175752269743
i,0.0015261745237326444,0.03996514449111847,0.03173375933053252
j,0.0,0.0,9.039175445278879e-05
k,0.00012108492089118501,0.00015578157346312824,0.0003558820018078351
l,0.043189477720374556,0.033867408615561735,0.02635573419139175
m,0.0012007587988375847,0.008613484650816839,0.0025878192847112865
n,0.07923999031320633,0.13068738742926775,0.1402101181914827
o,0.0016598724572166612,0.0024390943502226935,0.0012433129999260947
p,1.765821762996448e-05,2.3243599850054052e-05,1.9897556011620174e-05
q,0.0,0.0,3.013058481759626e-05
r,0.01338997416855021,0.006763887556365729,0.01802548024172688
s,0.039042319179851466,0.0127641981304233,0.013331931029385848
t,0.027438347594446237,0.01520131430193535,0.007829972541372705
u,0.000683625282531482,0.0005741663707641011,0.0004172801746436916
v,0.0,6.033445067460839e-05,0.00011654282806806102
w,2.0180820148530835e-05,3.115631469262565e-05,0.0011824833286905702
x,1.5135615111398127e-05,3.6596306146893616e-05,0.0007271135468246343
y,0.1109718073942525,0.15256901123704417,0.11682764736982734
z,0.0024393566354536647,0.0006592280553217459,0.0007038049812110221
