year,sex,prop
1880,F,1.0
1880,M,0.9973753993465672
1881,F,0.999999999999994
1881,M,1.0000000000000149
1882,F,0.9987019128241685
1882,M,0.9956459401690494
1883,F,0.9975961966489131
1883,M,0.9985664041593452
1884,F,0.9931561528743367
1884,M,0.9945388614618319
1885,F,0.9922513828763821
1885,M,0.9955010111129693
1886,F,0.9895044901686808
1886,M,0.9950354289840644
1887,F,0.9882794571970699
1887,M,0.9966966433952709
1888,F,0.9842412571166258
1888,M,0.9924290690650982
1889,F,0.984061131698892
1889,M,0.9949814630617644
1890,F,0.982566171333722
1890,M,0.9927494460756854
1891,F,0.9821765524082673
1891,M,0.9937251724342516
1892,F,0.9797457028490717
1892,M,0.9888149592749862
1893,F,0.9800007514982991
1893,M,0.99172001175224
1894,F,0.9785710761114841
1894,M,0.9890477218743303
1895,F,0.9754785303383093
1895,M,0.9890713640777503
1896,F,0.9756602948840938
1896,M,0.9880409784653961
1897,F,0.9765583969188635
1897,M,0.9893490599503336
1898,F,0.9728060717777497
1898,M,0.987196727056396
1899,F,0.9751697264635981
1899,M,0.9901146698299738
1900,F,0.9677596849332916
1900,M,0.9797016352936483
1901,F,0.9723042728043801
1901,M,0.9896034861661498
1902,F,0.9704671708087342
1902,M,0.9857492255013811
1903,F,0.9694895715638093
1903,M,0.9860197920160996
1904,F,0.9681416250567405
1904,M,0.982502009693355
1905,F,0.9670382422224609
1905,M,0.9816504054595341
1906,F,0.9675348204035885
1906,M,0.9817586494341307
1907,F,0.9649420199775205
1907,M,0.9769746250970487
1908,F,0.9644995019100925
1908,M,0.9764090735329377
1909,F,0.9627438499269879
1909,M,0.9734118780605303
1910,F,0.9597972836616065
1910,M,0.9697782675413716
1911,F,0.9601080874264672
1911,M,0.9677430776857139
1912,F,0.955857181519852
1912,M,0.9583695798811872
1913,F,0.9539785077132282
1913,M,0.9558813772971516
1914,F,0.9516966649855009
1914,M,0.952578557180957
1915,F,0.9488140155149702
1915,M,0.9506037256951371
1916,F,0.9480497467557999
1916,M,0.9502113145992448
1917,F,0.9475468787285188
1917,M,0.9503820587955629
1918,F,0.9463883861660274
1918,M,0.9508059424693206
1919,F,0.9455673543930928
1919,M,0.9492009406099697
1920,F,0.9452810599776004
1920,M,0.9501835658751616
1921,F,0.9450011964196625
1921,M,0.9512354568021405
1922,F,0.9441995143221655
1922,M,0.950868262922876
1923,F,0.9450987739577306
1923,M,0.9520300083833004
1924,F,0.9446365812234102
1924,M,0.9524221949710023
1925,F,0.9449539400123387
1925,M,0.9537228064578014
1926,F,0.9455259485029677
1926,M,0.9538885486834043
1927,F,0.9454868156284941
1927,M,0.9540309999742519
1928,F,0.9466576338698645
1928,M,0.9548898802561266
1929,F,0.947904834253652
1929,M,0.956235992009921
1930,F,0.9485367221046963
1930,M,0.956895600562799
1931,F,0.9502524353219632
1931,M,0.9584540904653047
1932,F,0.9488719972256806
1932,M,0.9589683683560917
1933,F,0.949577329748303
1933,M,0.9597780103908747
1934,F,0.9502384854949645
1934,M,0.960639054538828
1935,F,0.950915036670151
1935,M,0.9615816668252222
1936,F,0.9514099078137215
1936,M,0.9633390632626656
1937,F,0.9508386589729275
1937,M,0.9638336754336939
1938,F,0.9515615411182103
1938,M,0.9653796189376428
1939,F,0.9517445370915929
1939,M,0.9662694969303864
1940,F,0.9524963679095514
1940,M,0.9671614301939838
1941,F,0.9530791133292867
1941,M,0.968656450158476
1942,F,0.9530263808714259
1942,M,0.9704716081792536
1943,F,0.953301010616597
1943,M,0.9712682277061149
1944,F,0.9533365433957495
1944,M,0.9722133121546958
1945,F,0.9530375224030625
1945,M,0.9733536766087733
1946,F,0.9532337294777952
1946,M,0.9747525484733828
1947,F,0.9527458377674426
1947,M,0.9748201694743662
1948,F,0.951984020395083
1948,M,0.9747592205635468
1949,F,0.9517772213146084
1949,M,0.9750681315900066
1950,F,0.9510712486449202
1950,M,0.9752667134467373
1951,F,0.9517190916839549
1951,M,0.9757540799114601
1952,F,0.9506030703823858
1952,M,0.9759072781372857
1953,F,0.9495391665851088
1953,M,0.9757137951982258
1954,F,0.9487047027084392
1954,M,0.9760965915673856
1955,F,0.9474629932443325
1955,M,0.9759953144518035
1956,F,0.9459529066222426
1956,M,0.9758914412084443
1957,F,0.9455602125849395
1957,M,0.9756707139699001
1958,F,0.944060041181327
1958,M,0.9756110101159706
1959,F,0.9425608622124085
1959,M,0.9750903242955126
1960,F,0.939615105768269
1960,M,0.9746542698355187
1961,F,0.9372270996776016
1961,M,0.9741868158853416
1962,F,0.9358478187902419
1962,M,0.9743006140218977
1963,F,0.9338731899193318
1963,M,0.9738545457588526
1964,F,0.9308068460948429
1964,M,0.973472998782593
1965,F,0.930034592861009
1965,M,0.9729864201364984
1966,F,0.9269050926610121
1966,M,0.9719630831749911
1967,F,0.9228820726825048
1967,M,0.9712014869666845
1968,F,0.9181348275006307
1968,M,0.969331956734932
1969,F,0.9128543521244105
1969,M,0.9670099244072902
1970,F,0.9070053913151945
1970,M,0.963797260786903
1971,F,0.8998690953871913
1971,M,0.9601300665884379
1972,F,0.8943547984147725
1972,M,0.9565805971971033
1973,F,0.8877237530634541
1973,M,0.9537214432277947
1974,F,0.8830365035539816
1974,M,0.9519344447871576
1975,F,0.8769031988905887
1975,M,0.948434011494979
1976,F,0.874860395452919
1976,M,0.9466884796233256
1977,F,0.870400385234253
1977,M,0.9459076778104011
1978,F,0.8683317202636818
1978,M,0.9456811502714875
1979,F,0.8660534666842811
1979,M,0.9445676120319794
1980,F,0.8668164524043549
1980,M,0.9443286198066875
1981,F,0.8672320502413855
1981,M,0.9447620878334886
1982,F,0.8682084778338043
1982,M,0.944434698081585
1983,F,0.87160179839783
1983,M,0.9451702435401274
1984,F,0.8702011892562753
1984,M,0.9447045738835704
1985,F,0.8660461193986447
1985,M,0.9424118793475301
1986,F,0.8626191838875475
1986,M,0.9398333842545737
1987,F,0.8587194994210088
1987,M,0.9375737555847826
1988,F,0.8525196839771754
1988,M,0.9342362246568521
1989,F,0.8465354028660005
1989,M,0.9283142651412121
1990,F,0.8405913593104984
1990,M,0.926585350402277
1991,F,0.835156420914461
1991,M,0.923316186383679
1992,F,0.8296543663020397
1992,M,0.9195128672786314
1993,F,0.8260350316269278
1993,M,0.9151268145523427
1994,F,0.8232269880133833
1994,M,0.9112850795420363
1995,F,0.8217380665133937
1995,M,0.9093559749750247
1996,F,0.8171487845104214
1996,M,0.9052961377925715
1997,F,0.8114159984499787
1997,M,0.9010199243883018
1998,F,0.8056650371872504
1998,M,0.8963813756888606
1999,F,0.7998040785739704
1999,M,0.8927135794964944
2000,F,0.7914551588789166
2000,M,0.8870078126035468
2001,F,0.7841253105738573
2001,M,0.8827991577419819
2002,F,0.780402795874625
2002,M,0.8797750937238411
2003,F,0.7748500059745459
2003,M,0.8767470122016453
2004,F,0.767290869364787
2004,M,0.8700774189185576
2005,F,0.7624261750972122
2005,M,0.8665138201511561
2006,F,0.7531532301098676
2006,M,0.8603681335886548
2007,F,0.7459590753346029
2007,M,0.8551590389137662
2008,F,0.7409326067279123
2008,M,0.8500031983309623
2009,F,0.7372895034752421
2009,M,0.8452557289373065
2010,F,0.7367803480366789
2010,M,0.8431564353222903
